station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
acemocca,2023-01-06T11:00:00Z,0.02,0.258,0.028999999999999998,1,0.34,95.2,-0.183
acemocca,2023-01-06T13:55:00Z,0.14,0.328,0.029000000000000026,1,0.38,97.4,0.036
acemocca,2023-01-06T14:40:00Z,0.15,0.331,0.030000000000000027,1,0.2,97.7,-0.12
acemocca,2023-01-06T15:10:00Z,0.06,0.391,0.040000000000000036,1,0.2,97.9,-0.103
acemocca,2023-01-06T15:35:00Z,0.06,0.381,0.06,1,0.2,98,-0.095
acemocca,2023-01-06T15:50:00Z,0.05,0.391,0.06,1,0.2,98,-0.095
acemocca,2023-01-06T15:55:00Z,0.03,0.401,0.010000000000000009,1,0.2,98,-0.095
acemocca,2023-01-06T16:20:00Z,0.02,0.42,0.04899999999999999,1,0.3,98.1,0.013
acemocca,2023-01-06T16:25:00Z,0.14,0.45,0.030000000000000027,1,0.3,98.1,0.013
acemocca,2023-01-06T16:35:00Z,0.02,0.428,0.020000000000000018,1,0.4,98,0.105
acemocca,2023-01-06T16:40:00Z,0.15,0.428,0,0,0.4,97.9,0.097
acemocca,2023-01-06T16:50:00Z,0.02,0.398,0,0,0.4,97.7,0.081
acemocca,2023-01-06T16:55:00Z,0.06,0.418,0.019999999999999962,1,0.4,97.7,0.081
acemocca,2023-01-06T17:05:00Z,0.1,0.417,0.009000000000000008,1,0.44,97.6,0.113
acemocca,2023-01-06T17:15:00Z,0.03,0.446,0.03999999999999998,1,0.6,97.5,0.265
acemocca,2023-01-06T17:40:00Z,0.09,0.46,0.059,1,1.08,96.1,0.629
acemocca,2023-01-06T18:20:00Z,0.02,0.346,0,0,1.5,95.4,0.99
acemocca,2023-01-06T19:30:00Z,0.03,0.428,0.02899999999999997,1,2.26,94.4,1.663
acemocca,2023-01-06T20:50:00Z,0.02,0.387,0.061,1,2.48,92.8,1.746
acemocca,2023-01-06T21:00:00Z,0.07,0.356,0.03999999999999998,1,2.46,93.5,1.786
acemocca,2023-01-06T21:05:00Z,0.02,0.366,0.010000000000000009,1,2.5,93.3,1.809
acemocca,2023-01-16T08:45:00Z,0.14,0.187,0.031,1,0.56,94.7,-0.004
acemocca,2023-01-16T09:10:00Z,0.14,0.188,0.01999999999999999,1,0.4,95.5,-0.099
acemocca,2023-01-16T12:00:00Z,0.08,0.189,0.01999999999999999,1,0.3,97.1,-0.069
acemocca,2023-01-16T12:10:00Z,0.02,0.281,0.010000000000000009,1,0.2,97.2,-0.161
acemocca,2023-01-16T12:40:00Z,0.02,0.251,0.07999999999999999,1,0.2,97.4,-0.144
acemocca,2023-01-16T14:05:00Z,0.12,0.243,0.009999999999999981,1,0,98,-0.296
acemocca,2023-01-16T14:40:00Z,0.02,0.325,0.07200000000000001,1,-0.06,98,-0.356
acemocca,2023-01-16T14:55:00Z,0.1,0.365,0.03999999999999998,1,-0.1,98.1,-0.388
acemocca,2023-01-23T00:45:00Z,0.16,0.143,0.05899999999999998,1,-2,93.3,-2.658
acemocca,2023-01-23T00:50:00Z,0.03,0.193,0.05000000000000002,1,-2,93.5,-2.643
acemocca,2023-01-23T02:45:00Z,0.07,0.965,0.051999999999999935,1,-2.84,94.6,-3.397
acemocca,2023-01-23T03:10:00Z,0.12,1.334,0.10899999999999999,1,-3,95.2,-3.512
acemocca,2023-01-27T01:40:00Z,0.07,0.063,0.0010000000000000009,1,1.78,79.74,0.017
acemocca,2023-01-27T01:45:00Z,0.04,0.115,0.052000000000000005,1,1.56,81.4,-0.069
acemocca,2023-01-27T02:10:00Z,0.13,0.188,0.13,1,1.22,86.1,-0.036
acemocca,2023-01-27T02:20:00Z,0.02,0.159,0.021999999999999992,1,1.18,85.8,-0.099
acemocca,2023-01-27T02:35:00Z,0.14,0.335,0.28300000000000003,1,0.74,86.8,-0.451
acemocca,2023-01-27T02:40:00Z,0.11,0.337,0.0020000000000000018,1,0.58,88.4,-0.484
acemocca,2023-01-27T02:45:00Z,0.12,0.448,0.11099999999999999,1,0.44,89.6,-0.528
acemocca,2023-01-27T02:50:00Z,0.07,0.51,0.062,1,0.32,90.4,-0.584
acemocca,2023-01-27T02:55:00Z,0.02,0.541,0.031000000000000028,1,0.22,91.4,-0.605
acemocca,2023-01-27T03:10:00Z,0.08,0.625,0.16199999999999998,1,-0.1,94.4,-0.685
acemocca,2023-01-27T03:30:00Z,0.06,0.926,0.1100000000000001,1,-0.2,95.5,-0.697
acemocca,2023-01-27T03:35:00Z,0.03,1.026,0.09999999999999998,1,-0.2,95.7,-0.681
acemocca,2023-01-27T03:40:00Z,0.08,1.076,0.050000000000000044,1,-0.26,95.9,-0.725
acemocca,2023-01-27T03:45:00Z,0.02,1.176,0.09999999999999987,1,-0.2,96,-0.657
acemocca,2023-01-27T04:05:00Z,0.05,1.476,0.51,1,-0.2,96.2,-0.641
acemocca,2023-01-27T04:15:00Z,0.03,1.545,0.43899999999999983,1,-0.2,96.4,-0.625
acemocca,2023-01-27T04:25:00Z,0.1,1.587,0.601,1,-0.3,96.9,-0.685
acemocca,2023-01-27T05:00:00Z,0.02,2.307,0.07099999999999973,1,-0.38,97.6,-0.709
acemocca,2023-01-27T13:50:00Z,0.09,2.231,0.040000000000000036,1,-1.62,96.4,-2.045
acemocca,2023-01-27T14:10:00Z,0.1,2.271,0.029999999999999805,1,-1.6,96.7,-2.001
acemocca,2023-01-27T14:45:00Z,0.05,2.409,0.08999999999999986,1,-1.5,96.9,-1.886
acemocca,2023-01-27T15:40:00Z,0.07,2.631,0.1689999999999996,1,-0.84,97.4,-1.186
acemocca,2023-01-27T15:50:00Z,0.02,2.627,0.017999999999999794,1,-0.48,97.7,-0.801
acemocca,2023-01-27T16:40:00Z,0.11,2.471,0.55,1,0.28,96.8,-0.113
acemocca,2023-01-27T16:45:00Z,0.06,2.831,0.3599999999999999,1,0.3,96.6,-0.109
acemocca,2023-01-27T17:15:00Z,0.03,2.803,0.32099999999999973,1,0.04,96.9,-0.345
acemocca,2023-01-27T17:20:00Z,0.07,2.866,0.06300000000000017,1,-0.18,96.9,-0.565
acemocca,2023-01-27T17:30:00Z,0.17,3.24,0.03200000000000003,1,-0.74,97,-1.118
acemocca,2023-01-27T18:10:00Z,0.2,3.61,0.6189999999999998,1,-0.9,97.6,-1.23
acemocca,2023-01-27T18:15:00Z,0.03,3.71,0.10000000000000009,1,-0.9,97.7,-1.222
acemocca,2023-01-27T18:25:00Z,0.2,4.03,0.4490000000000003,1,-0.92,97.7,-1.242
acemocca,2023-01-27T18:30:00Z,0.03,4.849,0.819,1,-0.96,97.7,-1.282
acemocca,2023-01-27T18:35:00Z,0.07,4.879,0.02999999999999936,1,-1.04,97.6,-1.37
acemocca,2023-01-27T19:00:00Z,0.07,5.549,0.2290000000000001,1,-1.3,97.5,-1.639
acemocca,2023-01-27T19:40:00Z,0.13,6.358,0.040000000000000036,1,-1.44,97.4,-1.787
acemocca,2023-01-27T20:10:00Z,0.05,6.777,0.08999999999999986,1,-1.5,97.3,-1.855
acemocca,2023-01-27T20:35:00Z,0.09,7.315,0.3880000000000008,1,-1.5,97.3,-1.855
acemocca,2023-01-27T20:40:00Z,0.03,7.385,0.0699999999999994,1,-1.52,97.3,-1.875
acemocca,2023-01-27T21:00:00Z,0.03,7.585,0.4189999999999996,1,-1.4,97.5,-1.739
acemocca,2023-01-27T21:15:00Z,0.04,7.615,0.07000000000000028,1,-1.48,97.4,-1.827
acemocca,2023-01-27T23:45:00Z,0.07,8.93,0.2400000000000002,1,-2,97.2,-2.363
acemocca,2023-01-28T07:05:00Z,0.2,14.38,1.25,1,-7.4,92.3,-8.08
acemocca,2023-02-14T02:55:00Z,0.4,0.636,0.251,1,-0.18,94.5,-0.757
acemocca,2023-02-14T03:00:00Z,0.06,0.687,0.051000000000000045,1,-0.28,94.9,-0.825
acemocca,2023-02-14T03:05:00Z,0.12,0.767,0.07999999999999996,1,-0.3,94.7,-0.861
acemocca,2023-02-14T03:40:00Z,0.02,1.429,0.09000000000000008,1,-0.5,95.1,-1.028
acemocca,2023-02-14T03:45:00Z,0.07,1.45,0.020999999999999908,1,-0.6,95.5,-1.096
acemocca,2023-02-14T03:55:00Z,0.35,1.993,0.24200000000000021,1,-0.78,95.7,-1.26
acemocca,2023-02-14T04:00:00Z,0.16,2.129,0.1359999999999999,1,-1.26,93.8,-1.886
acemocca,2023-02-14T07:35:00Z,0.04,2.367,0.518,1,-2.1,95.5,-2.593
acemocca,2023-02-14T07:40:00Z,0.11,2.926,0.5590000000000002,1,-2.18,95.5,-2.672
acemocca,2023-02-14T07:50:00Z,0.05,3.028,0.06099999999999994,1,-2.34,95.4,-2.84
acemocca,2023-02-14T07:55:00Z,0.04,3.167,0.1389999999999998,1,-2.4,95.5,-2.892
acemocca,2023-02-14T08:05:00Z,0.11,3.157,0,0,-2.4,95.7,-2.877
acemocca,2023-02-14T08:25:00Z,0.16,3.217,0.010000000000000231,1,-2.4,95,-2.929
acemocca,2023-02-14T08:30:00Z,0.02,3.407,0.18999999999999995,1,-2.46,95,-2.989
acemocca,2023-02-14T08:40:00Z,0.14,3.546,0.14900000000000002,1,-2.5,95.6,-2.984
acemocca,2023-02-14T08:45:00Z,0.13,3.716,0.17000000000000037,1,-2.5,95.8,-2.969
acemocca,2023-02-14T08:55:00Z,0.06,4.353,0.6469999999999998,1,-2.5,96,-2.954
acemocca,2023-02-14T09:05:00Z,0.03,4.481,0.1689999999999996,1,-2.4,96.3,-2.832
acemocca,2023-02-14T09:10:00Z,0.14,4.571,0.08999999999999986,1,-2.4,96.2,-2.839
acemocca,2023-02-14T09:15:00Z,0.18,5.308,0.7370000000000001,1,-2.42,96,-2.874
acemocca,2023-02-14T09:20:00Z,0.11,5.399,0.09100000000000019,1,-2.52,95.3,-3.027
acemocca,2023-02-14T09:40:00Z,0.14,5.948,0.7380000000000004,1,-2.82,95.7,-3.296
acemocca,2023-02-14T09:45:00Z,0.05,6.745,0.7969999999999997,1,-2.96,95.7,-3.436
acemocca,2023-02-14T09:50:00Z,0.07,7.103,0.35799999999999965,1,-3.08,95.8,-3.548
acemocca,2023-02-14T09:55:00Z,0.07,7.531,0.42799999999999994,1,-3.1,95.9,-3.561
acemocca,2023-02-14T10:00:00Z,0.09,7.57,0.03900000000000059,1,-3.14,95.8,-3.608
acemocca,2023-02-14T10:10:00Z,0.06,8.06,0.17100000000000026,1,-3.2,95.9,-3.661
acemocca,2023-02-14T11:15:00Z,0.11,8.31,0.11000000000000121,1,-3.4,95.9,-3.86
