station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
acevalen,2023-08-20T12:10:00Z,0.05,0,0,0,13.1,85.3,11.469
acevalen,2023-08-20T12:20:00Z,0.06,0,0,0,12.93,87.9,11.581
acevalen,2023-08-20T12:30:00Z,0.08,0,0,0,12.8,90.1,11.688
acevalen,2023-08-20T19:05:00Z,0.19,0,0,0,14.1,91.6,13.135
acevalen,2023-08-20T19:30:00Z,0.24,0,0,0,13.9,91.6,12.937
acevalen,2023-08-20T20:10:00Z,0.24,0,0,0,14.16,90.7,13.095
acevalen,2023-08-20T20:55:00Z,0.24,0,0,0,13.55,92.5,12.689
acevalen,2023-08-20T21:15:00Z,0.23,0,0,0,13.66,94,12.963
acevalen,2023-08-20T21:30:00Z,0.2,0,0,0,13.72,93,12.912
acevalen,2023-08-20T21:40:00Z,0.15,0.049,0.049,1,13.8,93.9,13.091
acevalen,2023-08-20T21:50:00Z,0.12,0.066,0.066,1,13.92,95,13.332
acevalen,2023-08-20T22:00:00Z,0.07,0.109,0.109,1,13.94,93.8,13.219
acevalen,2023-08-20T22:25:00Z,0.17,0,0,0,14.13,94.6,13.496
acevalen,2023-08-20T22:30:00Z,0.17,0.004,0.004,1,14.07,93.4,13.304
acevalen,2023-08-20T22:40:00Z,0.21,0.114,0.058,1,14.11,94.8,13.499
acevalen,2023-08-20T23:00:00Z,0.14,0.115,0.03,1,14.1,94.7,13.478
acevalen,2023-08-20T23:30:00Z,0.14,0.064,0.049,1,14.05,95.1,13.472
acevalen,2023-08-20T23:40:00Z,0.15,0.054,0.041,1,14.1,95.2,13.533
acevalen,2023-08-21T03:10:00Z,0.1,0,0,0,14.4,96.2,13.944
acevalen,2023-08-21T03:15:00Z,0.11,0.018,0.018,1,14.4,96.3,13.955
acevalen,2023-08-21T03:30:00Z,0.09,0.04,0.03,1,14.3,96.8,13.911
acevalen,2023-08-21T04:05:00Z,0.15,0.051,0.030999999999999996,1,14.3,97.5,13.989
acevalen,2023-08-21T04:15:00Z,0.06,0.061,0,0,14.3,97.5,13.989
acevalen,2023-08-21T04:20:00Z,0.07,0.061,0,0,14.3,97.3,13.967
acevalen,2023-08-21T04:35:00Z,0.12,0.02,0.01,1,14.3,97.1,13.945
acevalen,2023-08-21T04:45:00Z,0.05,0.01,0.01,1,14.3,97.3,13.967
acevalen,2023-08-21T05:05:00Z,0.05,0.04,0.03,1,14.3,97.4,13.978
acevalen,2023-08-21T05:40:00Z,0.05,0.032,0,0,14.2,97.9,13.934
acevalen,2023-08-21T05:50:00Z,0.11,0.042,0.041,1,14.2,98,13.945
