station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
acebusby,2023-09-04T04:50:00Z,0.06,0.149,0.063,1,19.24,76.99,16.431
acebusby,2023-09-04T05:00:00Z,0.15,0.135,0.0020000000000000018,1,18.71,79.9,16.279
acebusby,2023-09-04T05:05:00Z,0.13,0.264,0.129,1,18.57,82,16.397
acebusby,2023-09-04T05:35:00Z,0.19,0.304,0.05499999999999999,1,17.34,91.4,16.315
acebusby,2023-09-04T06:10:00Z,0.19,0.329,0.05399999999999999,1,17.15,92.6,16.268
acebusby,2023-09-04T06:15:00Z,0.14,0.373,0.043999999999999984,1,17.02,93.7,16.268
acebusby,2023-09-04T06:20:00Z,0.16,0.435,0.062,1,17,93.8,16.26
acebusby,2023-09-04T06:35:00Z,0.14,0.378,0.067,1,17.28,89.9,16.079
acebusby,2023-09-04T06:40:00Z,0.13,0.399,0.02100000000000002,1,17.25,89.9,16.049
acebusby,2023-09-04T07:05:00Z,0.18,0.249,0.04799999999999999,1,17.65,86.5,16.041
acebusby,2023-09-04T20:15:00Z,0.24,0.317,0.061,1,18.19,79.43,15.723
acebusby,2023-09-04T20:20:00Z,0.11,0.485,0.16799999999999998,1,17.92,83.9,15.996
acebusby,2023-09-04T20:25:00Z,0.65,0.544,0.05900000000000005,1,17.92,84.6,16.079
acebusby,2023-09-04T20:35:00Z,0.05,0.547,0.04200000000000004,1,17.86,85.7,16.151
acebusby,2023-09-04T21:05:00Z,0.25,0.539,0,0,17.8,87.8,16.342
acebusby,2023-09-04T22:30:00Z,0.23,0.436,0.013000000000000012,1,15.79,81.9,13.702
acebusby,2023-09-04T22:40:00Z,0.06,0.386,0.05399999999999999,1,15.48,84.2,13.662
acebusby,2023-09-04T22:45:00Z,0.27,0.474,0.08799999999999997,1,15.27,86.5,13.717
acebusby,2023-09-04T22:55:00Z,0.39,0.455,0.026000000000000023,1,14.93,89.7,13.742
acebusby,2023-09-04T23:05:00Z,0.56,0.454,0.014000000000000012,1,14.55,91.2,13.535
acebusby,2023-09-04T23:10:00Z,0.64,0.464,0.010000000000000009,1,14.45,91.3,13.447
acebusby,2023-09-04T23:15:00Z,0.57,0.467,0.0030000000000000027,1,14.47,90.9,13.423
acebusby,2023-09-04T23:20:00Z,0.74,0.511,0.043999999999999984,1,14.34,90.9,13.294
acebusby,2023-09-04T23:35:00Z,0.64,0.486,0.010000000000000009,1,14.1,90.9,13.057
acebusby,2023-09-04T23:45:00Z,0.56,0.493,0.033999999999999975,1,13.94,91.6,12.976
acebusby,2023-09-04T23:55:00Z,0.48,0.499,0.014000000000000012,1,13.73,94,13.032
acebusby,2023-09-05T00:00:00Z,0.48,0.53,0.031000000000000028,1,13.67,94.6,13.039
acebusby,2023-09-05T00:05:00Z,0.46,0.553,0.02300000000000002,1,13.66,95.4,13.117
acebusby,2023-09-05T00:25:00Z,0.45,0.515,0.11199999999999999,1,13.5,95.3,12.946
acebusby,2023-09-05T00:30:00Z,0.48,0.59,0.07499999999999996,1,13.48,95.1,12.904
acebusby,2023-09-05T00:55:00Z,0.23,0.522,0.062,1,13.3,94.5,12.659
acebusby,2023-09-05T01:00:00Z,0.12,0.556,0.03400000000000003,1,13.21,95.1,12.635
acebusby,2023-09-05T01:10:00Z,0.06,0.535,0.010000000000000009,1,13.2,95.4,12.658
acebusby,2023-09-05T01:30:00Z,0.07,0.56,0.07900000000000007,1,13.38,93.7,12.652
acebusby,2023-09-05T03:10:00Z,0.19,0.466,0.07500000000000001,1,12.57,90,11.451
acebusby,2023-09-05T03:15:00Z,0.2,0.538,0.07200000000000001,1,12.5,90.9,11.478
acebusby,2023-09-05T03:25:00Z,0.05,0.521,0.031000000000000028,1,12.47,91,11.459
acebusby,2023-09-05T03:35:00Z,0.06,0.49,0,0,12.4,91.6,11.454
acebusby,2023-09-05T03:40:00Z,0.14,0.514,0.02400000000000002,1,12.36,92.1,11.468
acebusby,2023-09-05T03:55:00Z,0.36,0.487,0.044999999999999984,1,12.23,92.3,11.36
acebusby,2023-09-05T04:00:00Z,0.22,0.504,0.017000000000000015,1,12.27,91.8,11.347
acebusby,2023-09-05T04:10:00Z,0.15,0.463,0.01100000000000001,1,12.3,91,11.291
acebusby,2023-09-05T04:15:00Z,0.05,0.514,0.05099999999999999,1,12.3,91,11.291
acebusby,2023-09-05T04:25:00Z,0.12,0.493,0.061,1,12.3,90.7,11.259
acebusby,2023-09-05T04:30:00Z,0.13,0.493,0,0,12.29,91.2,11.303
acebusby,2023-09-05T04:35:00Z,0.1,0.524,0.031000000000000028,1,12.28,90.8,11.25
acebusby,2023-09-05T04:50:00Z,0.1,0.527,0.09200000000000003,1,12.2,91.9,11.288
acebusby,2023-09-07T10:45:00Z,0.23,0.465,0.379,1,14.72,79.28,12.381
acebusby,2023-09-09T00:50:00Z,0.46,0,0,0,18.25,63.44,13.857
acebusby,2023-09-09T00:55:00Z,0.96,0.409,0.409,1,17.06,70.61,13.612
acebusby,2023-09-09T02:25:00Z,0.27,0.39,0.355,1,14.84,89.9,13.676
acebusby,2023-09-09T05:00:00Z,0.06,0.69,0.39599999999999996,1,15.17,87.9,13.776
acebusby,2023-09-09T07:55:00Z,0.07,0.419,0.024999999999999967,1,14.17,91.6,13.204
acebusby,2023-09-10T02:25:00Z,0.15,0,0,0,17.81,65.58,13.713
acebusby,2023-09-10T02:45:00Z,1.34,0.69,0.6429999999999999,1,15.1,78.38,12.645
acebusby,2023-09-10T02:55:00Z,0.73,0.188,0.188,1,15.1,73.8,12.136
acebusby,2023-09-10T03:05:00Z,0.38,0.199,0.14600000000000002,1,14.19,80.9,12.049
acebusby,2023-09-22T00:45:00Z,4.18,0.679,0.679,1,14.3,76.72,11.699
acebusby,2023-09-22T01:00:00Z,0.67,0.146,0.092,1,13.09,86.9,11.63
acebusby,2023-09-22T03:45:00Z,0.47,0.289,0.11199999999999999,1,11.7,89.2,10.511
acebusby,2023-09-22T03:55:00Z,0.35,0.225,0.109,1,11.67,89.1,10.471
acebusby,2023-09-22T04:05:00Z,0.13,0.194,0.03,1,11.5,90.2,10.418
acebusby,2023-09-22T04:10:00Z,0.07,0.208,0.013999999999999985,1,11.42,91,10.422
acebusby,2023-09-22T04:25:00Z,0.38,0.253,0.057999999999999996,1,11.24,92,10.348
acebusby,2023-09-22T04:40:00Z,0.09,0.202,0.017000000000000015,1,11.08,93.2,10.315
acebusby,2023-09-22T04:45:00Z,0.07,0.25,0.04799999999999999,1,11.03,93.1,10.255
acebusby,2023-09-22T08:10:00Z,0.06,0.287,0.06099999999999997,1,11.2,95.2,10.642
acebusby,2023-09-22T08:40:00Z,0.07,0.304,0.01100000000000001,1,11.3,94.7,10.69
acebusby,2023-09-22T08:45:00Z,0.16,0.344,0.03999999999999998,1,11.3,95.2,10.742
acebusby,2023-09-22T09:00:00Z,0.14,0.32,0.05099999999999999,1,11.4,94.2,10.737
acebusby,2023-09-22T09:10:00Z,0.3,0.378,0.09799999999999998,1,11.4,94.6,10.779
acebusby,2023-09-22T09:20:00Z,0.6,0.32,0.013000000000000012,1,11.43,94.2,10.767
acebusby,2023-09-22T09:25:00Z,0.57,0.399,0.07900000000000001,1,11.46,93.4,10.713
acebusby,2023-09-22T09:35:00Z,0.53,0.439,0.16299999999999998,1,11.46,93.6,10.734
acebusby,2023-09-22T09:45:00Z,0.71,0.344,0.061,1,11.6,92.8,10.789
acebusby,2023-09-22T09:55:00Z,0.51,0.304,0.0040000000000000036,1,11.35,95,10.771
acebusby,2023-09-22T10:00:00Z,0.68,0.344,0.03999999999999998,1,11.3,95.6,10.784
acebusby,2023-09-22T10:10:00Z,0.55,0.331,0.05099999999999999,1,11.4,95.6,10.884
acebusby,2023-09-22T10:15:00Z,0.65,0.385,0.05399999999999999,1,11.31,95.8,10.815
acebusby,2023-09-22T10:25:00Z,0.56,0.349,0.02799999999999997,1,11,97,10.631
acebusby,2023-09-22T10:35:00Z,0.41,0.359,0.02699999999999997,1,10.89,98.2,10.647
acebusby,2023-09-22T10:40:00Z,0.5,0.369,0.010000000000000009,1,10.9,98.4,10.678
acebusby,2023-09-22T10:45:00Z,0.17,0.379,0.010000000000000009,1,10.9,98.5,10.688
acebusby,2023-09-22T10:55:00Z,0.2,0.376,0.007000000000000006,1,10.95,98.5,10.738
acebusby,2023-09-22T11:00:00Z,0.11,0.392,0.016000000000000014,1,11.05,98,10.786
acebusby,2023-09-22T11:55:00Z,0.06,0.415,0.07799999999999996,1,11.53,91.7,10.604
acebusby,2023-09-22T12:30:00Z,0.05,0.402,0.11600000000000005,1,11.4,93.3,10.643
acebusby,2023-09-22T12:40:00Z,0.1,0.303,0,0,11.57,90.2,10.487
acebusby,2023-09-22T13:20:00Z,0.07,0.446,0.07100000000000001,1,11.91,85.5,10.331
acebusby,2023-09-22T13:40:00Z,0.27,0.371,0.174,1,12.52,80.6,10.411
acebusby,2023-09-22T13:45:00Z,0.73,0.374,0.0030000000000000027,1,12.46,81.8,10.478
acebusby,2023-09-22T13:55:00Z,0.19,0.337,0.02100000000000002,1,12.1,85.7,10.537
acebusby,2023-09-22T14:20:00Z,0.19,0.421,0.262,1,12.89,79.85,10.687
acebusby,2023-09-22T14:30:00Z,0.63,0.484,0.184,1,12.99,81,10.905
acebusby,2023-09-22T15:10:00Z,0.39,0.3,0.065,1,11.52,86.7,10.075
acebusby,2023-09-22T15:25:00Z,0.33,0.371,0.07100000000000001,1,11.38,81.9,9.447
acebusby,2023-09-22T15:40:00Z,0.15,0.253,0.01100000000000001,1,11.11,85.2,9.521
acebusby,2023-09-22T15:45:00Z,0.1,0.268,0.015000000000000013,1,10.82,89,9.625
acebusby,2023-09-22T17:10:00Z,0.06,0.352,0.062,1,11.09,92.6,10.262
acebusby,2023-09-22T17:15:00Z,0.24,0.376,0.02400000000000002,1,11.01,93.6,10.287
acebusby,2023-09-22T17:25:00Z,0.51,0.416,0.122,1,10.95,92.9,10.155
acebusby,2023-09-22T17:45:00Z,0.47,0.383,0.04099999999999998,1,10.8,93.9,10.109
acebusby,2023-09-22T17:50:00Z,0.37,0.41,0.02699999999999997,1,10.82,94.6,10.201
acebusby,2023-09-22T18:00:00Z,0.23,0.413,0.01699999999999996,1,11.01,93.5,10.276
acebusby,2023-09-22T18:20:00Z,0.38,0.369,0.017000000000000015,1,11.03,92.5,10.192
acebusby,2023-09-22T18:25:00Z,0.12,0.403,0.03400000000000003,1,11.06,90.6,10.026
acebusby,2023-09-22T18:35:00Z,0.23,0.376,0.05499999999999999,1,11.02,91.9,10.12
acebusby,2023-09-22T18:40:00Z,0.16,0.427,0.05099999999999999,1,10.95,90.1,9.866
acebusby,2023-09-22T18:55:00Z,0.11,0.362,0.02699999999999997,1,11.08,85.5,9.522
acebusby,2023-09-23T00:25:00Z,0.12,0.194,0.007000000000000006,1,12.8,86.5,11.304
acebusby,2023-09-23T00:30:00Z,0.12,0.241,0.046999999999999986,1,12.55,89.2,11.346
acebusby,2023-09-23T00:35:00Z,0.05,0.251,0.010000000000000009,1,12.5,89.4,11.318
acebusby,2023-09-23T01:50:00Z,0.11,0.306,0,0,11.8,95.8,11.304
acebusby,2023-09-23T01:55:00Z,0.06,0.337,0.031000000000000028,1,11.8,95.9,11.315
acebusby,2023-09-23T02:05:00Z,0.06,0.316,0.020000000000000018,1,11.8,92.5,10.955
acebusby,2023-09-23T02:15:00Z,0.12,0.354,0.07499999999999996,1,11.62,96.4,11.188
acebusby,2023-09-23T02:35:00Z,0.14,0.381,0.03700000000000003,1,11.64,96.1,11.176
acebusby,2023-09-23T02:40:00Z,0.11,0.381,0,0,11.7,96,11.226
acebusby,2023-09-23T03:05:00Z,0.11,0.258,0.027999999999999997,1,10.74,90.3,9.679
acebusby,2023-09-23T03:10:00Z,0.18,0.272,0.014000000000000012,1,10.56,91.1,9.584
acebusby,2023-09-23T03:15:00Z,0.11,0.292,0.019999999999999962,1,10.5,91.5,9.565
acebusby,2023-09-23T03:20:00Z,0.06,0.388,0.09600000000000003,1,10.44,90.2,9.373
acebusby,2023-09-23T03:35:00Z,0.12,0.323,0.07500000000000001,1,10.52,90.8,9.513
acebusby,2023-09-23T03:45:00Z,0.05,0.337,0.137,1,10.47,92.7,9.658
acebusby,2023-09-23T06:35:00Z,0.06,0.277,0.07500000000000001,1,9.33,93.8,8.638
acebusby,2023-09-23T06:45:00Z,0.07,0.304,0.02100000000000002,1,9.4,93.2,8.647
acebusby,2023-10-02T16:15:00Z,0.06,0.195,0.02100000000000002,1,10.26,90.6,9.237
acebusby,2023-10-02T16:20:00Z,0.06,0.246,0.05099999999999999,1,10.1,92.1,9.23
acebusby,2023-10-02T16:30:00Z,0.1,0.296,0.088,1,10.32,92.3,9.469
acebusby,2023-10-02T22:20:00Z,0.07,0.143,0.016999999999999987,1,13.06,84.8,11.377
acebusby,2023-10-02T22:40:00Z,0.41,0.388,0.164,1,12.74,89.1,11.523
