station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
aceotter,2023-09-04T02:15:00Z,0.35,0,0,0,23.44,52.73,17.059
aceotter,2023-09-04T02:20:00Z,0.4,0,0,0,20.58,65.83,16.287
aceotter,2023-09-04T02:25:00Z,0.5,0,0,0,20.14,69.39,16.334
aceotter,2023-09-04T02:30:00Z,0.2,0,0,0,19.62,73.15,16.318
aceotter,2023-09-04T21:30:00Z,2.54,0,0,0,16,85,14.258
aceotter,2023-09-04T21:35:00Z,1.59,0,0,0,14.54,92.1,13.625
aceotter,2023-09-04T21:40:00Z,1.25,0,0,0,14.28,94.2,13.601
aceotter,2023-09-04T21:45:00Z,0.48,0,0,0,14.35,93.4,13.582
aceotter,2023-09-04T22:55:00Z,0.1,0,0,0,14.2,94.9,13.6
aceotter,2023-09-04T23:00:00Z,0.63,0,0,0,14.19,95.5,13.656
aceotter,2023-09-04T23:05:00Z,1.83,0,0,0,14.12,95.1,13.542
aceotter,2023-09-04T23:10:00Z,2.09,0,0,0,14.03,94.7,13.408
aceotter,2023-09-04T23:15:00Z,1.06,0,0,0,13.9,95.3,13.345
aceotter,2023-09-04T23:20:00Z,0.45,0,0,0,13.9,95.1,13.323
aceotter,2023-09-04T23:25:00Z,0.49,0,0,0,13.9,95.4,13.356
aceotter,2023-09-04T23:30:00Z,0.33,0,0,0,13.9,95.5,13.367
aceotter,2023-09-04T23:35:00Z,0.37,0,0,0,13.9,96,13.422
aceotter,2023-09-04T23:40:00Z,0.49,0,0,0,13.9,96.3,13.456
aceotter,2023-09-04T23:45:00Z,0.28,0,0,0,13.9,96.3,13.456
aceotter,2023-09-04T23:50:00Z,0.66,0,0,0,13.9,96,13.422
aceotter,2023-09-04T23:55:00Z,0.6,0,0,0,13.9,95.9,13.411
aceotter,2023-09-05T00:00:00Z,0.44,0,0,0,13.9,95.8,13.4
aceotter,2023-09-05T00:05:00Z,0.49,0,0,0,13.87,95.8,13.37
aceotter,2023-09-05T00:10:00Z,0.29,0,0,0,13.8,96.2,13.345
aceotter,2023-09-05T00:15:00Z,0.27,0,0,0,13.8,96.2,13.345
aceotter,2023-09-05T00:25:00Z,0.22,0,0,0,13.74,96.3,13.296
aceotter,2023-09-05T02:15:00Z,0.15,0,0,0,12.52,96.2,12.066
aceotter,2023-09-05T02:20:00Z,0.11,0,0,0,12.5,96.7,12.1
aceotter,2023-09-05T02:25:00Z,0.07,0,0,0,12.43,96.9,12.051
aceotter,2023-09-05T02:30:00Z,0.14,0,0,0,12.4,97.2,12.054
aceotter,2023-09-05T02:40:00Z,0.25,0,0,0,12.4,97.1,12.043
aceotter,2023-09-05T02:45:00Z,0.15,0,0,0,12.3,97,11.932
aceotter,2023-09-05T02:50:00Z,0.31,0,0,0,12.3,97.2,11.954
aceotter,2023-09-05T02:55:00Z,0.35,0,0,0,12.3,97.2,11.954
aceotter,2023-09-05T03:00:00Z,0.37,0,0,0,12.3,97,11.932
aceotter,2023-09-05T03:05:00Z,0.13,0,0,0,12.3,96.9,11.921
aceotter,2023-09-05T03:10:00Z,0.13,0,0,0,12.21,96.7,11.81
aceotter,2023-09-05T03:15:00Z,0.15,0,0,0,12.2,96.9,11.821
aceotter,2023-09-05T03:20:00Z,0.29,0,0,0,12.2,97.1,11.843
aceotter,2023-09-05T03:25:00Z,0.12,0,0,0,12.2,96.8,11.811
aceotter,2023-09-05T03:30:00Z,0.11,0,0,0,12.1,97.3,11.764
aceotter,2023-09-05T03:35:00Z,0.06,0,0,0,12.03,97.3,11.694
aceotter,2023-09-05T03:40:00Z,0.16,0,0,0,11.94,97.4,11.615
aceotter,2023-09-05T03:45:00Z,0.11,0,0,0,11.89,97.3,11.554
aceotter,2023-09-05T03:50:00Z,0.15,0,0,0,11.8,97.3,11.464
aceotter,2023-09-05T03:55:00Z,0.07,0,0,0,11.72,97.4,11.394
aceotter,2023-09-05T04:00:00Z,0.17,0,0,0,11.69,97.4,11.364
