station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
csktbira,2023-05-10T02:00:00Z,0.21,0.279,0.038000000000000034,1,11.76,64.58,8.061
csktbira,2023-05-10T05:50:00Z,0.05,0.32,0.02100000000000002,1,9.4,83.3,7.671
csktbira,2023-05-22T00:40:00Z,4.2,0.12,0.12,1,16.75,NA,NA
csktbira,2023-05-22T00:45:00Z,10.44,0.44,0.32,1,13.37,91.5,12.402
csktbira,2023-05-22T00:55:00Z,1.69,0.913,0.619,1,13,90.6,11.939
csktbira,2023-05-22T01:15:00Z,0.26,0.355,0.008000000000000007,1,13.6,90.5,12.52
csktbira,2023-05-22T08:20:00Z,0.06,0.182,0.093,1,15.77,75.14,12.919
csktbira,2023-05-22T08:35:00Z,0.06,0.282,0.13099999999999998,1,15.02,81.3,12.893
csktbira,2023-05-22T09:10:00Z,0.11,0.202,0.13,1,15.13,80.5,12.909
csktbira,2023-05-22T09:20:00Z,0.17,0.28,0.12300000000000003,1,15.21,79.86,12.915
csktbira,2023-05-22T09:35:00Z,0.14,0.253,0.04600000000000001,1,14.74,84.5,12.977
csktbira,2023-05-22T09:40:00Z,0.27,0.373,0.12,1,14.32,88.8,13.042
csktbira,2023-05-22T09:50:00Z,0.31,0.317,0.02100000000000002,1,14.5,84.7,12.766
csktbira,2023-05-22T10:00:00Z,0.14,0.263,0,0,14.53,84.2,12.74
csktbira,2023-05-22T10:20:00Z,0.13,0.273,0.061000000000000026,1,14.6,81.7,12.532
csktbira,2023-05-22T10:40:00Z,0.1,0.293,0.06399999999999997,1,13.87,89.9,12.721
csktbira,2023-05-22T10:45:00Z,0.06,0.324,0.031000000000000028,1,13.78,90.4,12.687
csktbira,2023-05-22T10:55:00Z,0.06,0.35,0.033999999999999975,1,13.67,92.7,12.83
csktbira,2023-05-22T11:00:00Z,0.06,0.388,0.038000000000000034,1,13.66,91.7,12.711
csktbira,2023-05-22T11:15:00Z,0.06,0.314,0.0030000000000000027,1,13.41,94.6,12.78
csktbira,2023-05-22T11:20:00Z,0.09,0.355,0.04099999999999998,1,13.4,94.5,12.759
csktbira,2023-05-22T11:25:00Z,0.12,0.416,0.061,1,13.4,95,12.814
csktbira,2023-05-22T12:55:00Z,0.05,0.393,0.059,1,13.56,93.3,12.787
csktbira,2023-05-22T13:05:00Z,0.21,0.48,0.10499999999999998,1,13.31,96.8,12.921
csktbira,2023-05-22T13:15:00Z,0.17,0.478,0.10999999999999999,1,13.37,96.4,12.937
csktbira,2023-05-22T13:20:00Z,0.06,0.516,0.038000000000000034,1,13.47,95.7,12.96
csktbira,2023-05-22T15:20:00Z,0.12,0.425,0.020999999999999963,1,14.7,87.4,13.26
csktbira,2023-05-22T15:55:00Z,0.17,0.496,0.09199999999999997,1,13.92,82.6,11.974
csktbira,2023-05-22T16:20:00Z,0.14,0.486,0.0050000000000000044,1,14.18,83.8,12.356
csktbira,2023-05-22T16:25:00Z,0.28,0.486,0,0,14.37,85.3,12.705
csktbira,2023-05-24T10:30:00Z,0.07,0.211,0.126,1,10.91,87.9,9.601
csktbira,2023-05-24T11:05:00Z,0.06,0.241,0.01999999999999999,1,10.9,90,9.806
csktbira,2023-05-26T08:40:00Z,0.05,0.15,0.095,1,13.6,82.9,11.697
csktbira,2023-05-27T01:30:00Z,0.11,0.291,0.11999999999999997,1,16.21,82.5,14.176
csktbira,2023-05-27T22:25:00Z,0.2,0.63,0.08599999999999997,1,16.63,83.2,14.663
csktbira,2023-05-27T22:35:00Z,0.07,0.548,0.013000000000000012,1,16.65,80.4,14.359
csktbira,2023-05-28T13:50:00Z,0.09,0.498,0.05099999999999999,1,13.4,93.9,12.693
csktbira,2023-05-28T20:25:00Z,0.18,0.645,0.136,1,16.41,84.2,14.565
csktbira,2023-05-28T20:30:00Z,0.17,0.758,0.11299999999999999,1,16.61,86.1,14.979
csktbira,2023-05-28T22:05:00Z,0.25,0.467,0.02200000000000002,1,16.5,75.42,13.643
csktbira,2023-05-28T22:10:00Z,0.06,0.581,0.11399999999999993,1,16.5,77.8,13.916
csktbira,2023-05-31T14:40:00Z,0.06,0.214,0.121,1,13.52,77.36,11.026
csktbira,2023-05-31T16:00:00Z,0.06,0.224,0.010000000000000009,1,14.27,81.1,12.148
csktbira,2023-05-31T16:05:00Z,0.06,0.339,0.11500000000000002,1,13.99,82.1,11.987
csktbira,2023-05-31T16:10:00Z,0.06,0.399,0.06,1,14.04,82.1,12.035
csktbira,2023-05-31T16:25:00Z,0.11,0.447,0.135,1,14.24,78.69,11.857
csktbira,2023-05-31T16:40:00Z,0.06,0.296,0.0030000000000000027,1,13.99,81.4,11.911
csktbira,2023-05-31T16:45:00Z,0.09,0.304,0.008000000000000007,1,13.5,83.7,11.686
csktbira,2023-05-31T16:50:00Z,0.25,0.368,0.064,1,13.33,85,11.661
csktbira,2023-05-31T16:55:00Z,0.18,0.375,0.007000000000000006,1,13.34,85.6,11.735
csktbira,2023-05-31T17:00:00Z,0.19,0.396,0.02100000000000002,1,13.4,84.9,11.718
