station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
aceturne,2023-09-13T23:45:00Z,0.7,0,0,0,18.79,NA,NA
aceturne,2023-09-13T23:50:00Z,1.07,0,0,0,16.37,74.17,13.376
aceturne,2023-09-13T23:55:00Z,0.48,2.638,2.638,1,17.09,76.25,14.298
aceturne,2023-09-14T00:05:00Z,0.17,0,0,0,18.1,72.01,14.751
aceturne,2023-09-14T00:10:00Z,0.07,0,0,0,18.18,73.13,14.96
aceturne,2023-09-21T14:15:00Z,0.11,0,0,0,8.3,82.5,6.531
aceturne,2023-09-21T14:45:00Z,0.09,0,0,0,8.49,84.1,6.866
aceturne,2023-09-22T01:20:00Z,0.31,0.081,0.075,1,13.4,80.1,11.204
aceturne,2023-09-22T01:55:00Z,0.15,0.32,0.32,1,13.17,83.1,11.302
aceturne,2023-09-22T02:05:00Z,0.24,0.177,0.11299999999999999,1,13.12,83.8,11.328
aceturne,2023-09-22T16:20:00Z,0.29,0.386,0.030000000000000027,1,11.8,98.4,11.581
aceturne,2023-09-23T09:15:00Z,0.18,0.251,0.0020000000000000018,1,11.98,97.6,11.676
aceturne,2023-09-23T09:35:00Z,0.18,0.364,0.07200000000000001,1,11.9,98.3,11.671
aceturne,2023-09-23T09:50:00Z,0.21,0.3,0.018000000000000016,1,11.94,98.6,11.743
aceturne,2023-09-23T11:35:00Z,0.06,0.256,0,0,12.2,98.6,12.004
aceturne,2023-09-23T11:40:00Z,0.05,0.327,0.07100000000000001,1,12.2,98.6,12.004
aceturne,2023-09-23T11:45:00Z,0.07,0.327,0,0,12.2,98.7,12.015
aceturne,2023-09-23T11:55:00Z,0.1,0.327,0.010000000000000009,1,12.2,98.7,12.015
aceturne,2023-09-23T12:50:00Z,0.09,0.329,0.03300000000000003,1,12.19,98.8,12.015
aceturne,2023-09-28T01:45:00Z,0.43,0.115,0.115,1,12.46,86.7,10.993
aceturne,2023-09-28T01:55:00Z,0.2,0.163,0.054000000000000006,1,13.08,81,10.992
aceturne,2023-09-30T13:10:00Z,0.05,0,0,0,6.291,77.97,4.19
aceturne,2023-09-30T13:15:00Z,0.64,0,0,0,6.137,81.5,4.352
aceturne,2023-09-30T13:20:00Z,0.77,0,0,0,5.838,84.9,4.362
aceturne,2023-09-30T13:25:00Z,0.54,0,0,0,5.627,86.8,4.326
aceturne,2023-09-30T13:30:00Z,0.5,0,0,0,5.701,84.5,4.194
aceturne,2023-09-30T13:35:00Z,0.38,0,0,0,5.787,85.9,4.402
aceturne,2023-09-30T13:40:00Z,0.11,0,0,0,5.883,86.1,4.513
aceturne,2023-09-30T13:50:00Z,0.28,0,0,0,5.971,87.8,4.752
aceturne,2023-09-30T13:55:00Z,0.05,0,0,0,6.179,88,4.974
aceturne,2023-10-01T16:15:00Z,0.26,0.103,0.009999999999999995,1,7.875,97.7,7.572
aceturne,2023-10-01T16:50:00Z,2.32,0.144,0.08399999999999999,1,7.912,97.2,7.561
aceturne,2023-10-01T17:35:00Z,0.27,0.158,0.081,1,8.1,97.7,7.798
aceturne,2023-10-01T19:15:00Z,0.2,0.1,0.1,1,8.4,95.8,7.911
aceturne,2023-10-01T19:25:00Z,0.22,0.12,0.009999999999999995,1,8.4,96.3,7.96
aceturne,2023-10-02T00:30:00Z,0.19,0,0,0,8,98.6,7.787
aceturne,2023-10-02T00:55:00Z,0.22,0.11,0.020000000000000004,1,8.04,98.8,7.846
aceturne,2023-10-02T04:05:00Z,0.05,0.275,0.16200000000000003,1,7.9,98.7,7.696
aceturne,2023-10-02T04:25:00Z,0.12,0.073,0.030999999999999993,1,7.9,98.9,7.716
aceturne,2023-10-02T04:30:00Z,0.06,0.093,0.020000000000000004,1,7.9,98.9,7.716
aceturne,2023-10-02T04:40:00Z,0.07,0.154,0.092,1,7.9,99,7.726
aceturne,2023-10-02T04:55:00Z,0.05,0.093,0.009999999999999995,1,7.9,99.1,7.735
aceturne,2023-10-02T05:15:00Z,0.06,0,0,0,7.9,99.1,7.735
aceturne,2023-10-02T05:25:00Z,0.07,0.062,0.019999999999999997,1,7.9,99.1,7.735
aceturne,2023-10-02T05:35:00Z,0.08,0.096,0.041,1,7.8,99.1,7.635
aceturne,2023-10-02T05:50:00Z,0.06,0,0,0,7.8,99.1,7.635
aceturne,2023-10-02T06:50:00Z,0.07,0,0,0,7.332,98.6,7.116
aceturne,2023-10-03T16:00:00Z,0.23,0,0,0,8.2,95.5,7.681
aceturne,2023-10-03T16:50:00Z,0.21,0,0,0,8.5,93.5,7.784
aceturne,2023-10-12T00:20:00Z,0.22,0,0,0,9.38,77.22,7.067
aceturne,2023-10-12T00:25:00Z,0.27,0,0,0,8.92,82.4,7.12
aceturne,2023-10-12T00:30:00Z,0.08,0,0,0,8.89,83.2,7.168
aceturne,2023-10-17T23:00:00Z,0.34,0,0,0,8.18,92.1,7.33
aceturne,2023-10-17T23:10:00Z,0.51,0,0,0,8.19,93.3,7.456
aceturne,2023-10-17T23:20:00Z,0.87,0,0,0,8.36,91.4,7.44
aceturne,2023-10-17T23:30:00Z,0.41,0,0,0,8.28,91.3,7.351
aceturne,2023-10-17T23:35:00Z,0.34,0,0,0,8.13,92.8,7.348
aceturne,2023-10-17T23:40:00Z,0.34,0,0,0,8.18,93.6,7.476
aceturne,2023-10-18T00:00:00Z,0.31,0,0,0,8.5,92.4,7.676
aceturne,2023-10-18T00:05:00Z,0.29,0,0,0,8.52,92.3,7.686
aceturne,2023-10-18T00:15:00Z,0.32,0,0,0,8.7,91.3,7.766
aceturne,2023-10-18T00:25:00Z,0.27,0,0,0,8.89,90.5,7.875
aceturne,2023-10-23T04:05:00Z,0.11,0,0,0,3.7,92.5,2.93
aceturne,2023-10-23T04:10:00Z,0.15,0,0,0,3.62,92.9,2.885
aceturne,2023-10-23T04:20:00Z,0.13,0,0,0,3.683,94.1,3.053
aceturne,2023-10-23T04:25:00Z,0.1,0,0,0,3.683,93.8,3.026
aceturne,2023-10-24T03:45:00Z,0.23,0.055,0.055,1,-0.298,95.8,-0.771
aceturne,2023-10-24T03:55:00Z,0.13,0,0,0,-0.39,96.8,-0.783
aceturne,2023-10-24T04:00:00Z,0.05,0,0,0,-0.4,97.1,-0.769
aceturne,2023-10-24T04:10:00Z,0.17,0,0,0,-0.4,97.7,-0.721
aceturne,2023-10-24T04:20:00Z,0.11,0,0,0,-0.4,97.9,-0.705
aceturne,2023-10-24T04:45:00Z,0.11,0,0,0,-0.4,98.2,-0.681
aceturne,2023-10-24T06:35:00Z,0.17,0,0,0,0.5,98.9,0.28
aceturne,2023-10-24T06:45:00Z,0.19,0,0,0,0.5,99,0.289
aceturne,2023-10-24T07:00:00Z,0.21,0,0,0,0.504,99,0.292
aceturne,2023-10-24T07:15:00Z,0.21,0,0,0,0.648,99,0.437
aceturne,2023-10-24T07:25:00Z,0.26,0,0,0,0.723,99.1,0.521
aceturne,2023-10-24T08:00:00Z,0.05,0,0,0,1.1,99.1,0.9
aceturne,2023-10-24T08:05:00Z,0.06,0,0,0,1.119,99.1,0.919
aceturne,2023-10-24T08:15:00Z,0.27,0,0,0,1.2,99.2,1.009
aceturne,2023-10-24T08:50:00Z,0.12,0,0,0,1.5,99.2,1.311
aceturne,2023-10-24T18:35:00Z,0.05,0,0,0,-6.207,93.8,-6.802
aceturne,2023-10-24T18:45:00Z,0.05,0,0,0,-6.157,93.7,-6.759
aceturne,2023-10-24T19:15:00Z,0.1,0,0,0,-6.138,92.3,-6.83
aceturne,2023-10-24T19:50:00Z,0.07,0.052,0.052,1,-6.129,91.6,-6.866
aceturne,2023-10-24T20:20:00Z,0.08,0,0,0,-6.213,91.4,-6.962
aceturne,2023-10-24T22:25:00Z,0.07,0,0,0,-6.471,90.2,-7.292
aceturne,2023-10-24T23:00:00Z,0.09,0,0,0,-6.854,89.6,-7.706
aceturne,2023-10-24T23:35:00Z,0.06,0,0,0,-6.8,90.6,-7.592
aceturne,2023-10-25T00:35:00Z,0.08,0,0,0,-7.2,91.2,-7.95
aceturne,2023-10-25T02:35:00Z,0.05,0,0,0,-8.08,89.1,-8.942
aceturne,2023-10-25T03:40:00Z,0.13,0,0,0,-8.47,90.4,-9.251
aceturne,2023-10-25T07:25:00Z,0.05,0.208,0.089,1,-9.6,88.6,-10.463
aceturne,2023-10-25T09:00:00Z,0.06,0.549,0.049000000000000044,1,-9.9,89.3,-10.72
aceturne,2023-10-25T09:10:00Z,0.05,0.589,0.07899999999999996,1,-9.9,89.8,-10.693
aceturne,2023-10-25T09:30:00Z,0.06,0.775,0.025000000000000022,1,-9.89,89.2,-10.716
aceturne,2023-10-25T10:00:00Z,0.09,0.84,0,0,-10,89.1,-10.829
aceturne,2023-10-25T10:40:00Z,0.15,1.136,0.04899999999999993,1,-10.17,89.2,-10.991
aceturne,2023-10-25T11:05:00Z,0.08,1.248,0,0,-10.1,89.7,-10.895
aceturne,2023-10-25T11:35:00Z,0.1,1.293,0.020000000000000018,1,-10.2,88.8,-11.041
aceturne,2023-10-25T12:25:00Z,0.11,1.381,0.038999999999999924,1,-10.2,87.8,-11.093
aceturne,2023-10-25T14:10:00Z,0.05,1.454,0.06899999999999995,1,-10.1,86.4,-11.066
aceturne,2023-10-25T15:15:00Z,0.09,1.802,0.06299999999999994,1,-10.01,87.9,-10.902
aceturne,2023-10-25T15:45:00Z,0.08,1.9,0.05899999999999994,1,-10,87.8,-10.897
aceturne,2023-10-25T18:15:00Z,0.11,2.541,0.13200000000000012,1,-9.71,88.2,-10.592
aceturne,2023-10-25T18:50:00Z,0.11,3.043,0.08300000000000018,1,-9.95,87,-10.889
aceturne,2023-10-25T19:15:00Z,0.08,3.303,0.14800000000000013,1,-9.76,87.5,-10.678
aceturne,2023-10-25T19:25:00Z,0.06,3.351,0.07299999999999995,1,-9.68,88,-10.573
aceturne,2023-10-25T19:35:00Z,0.06,3.582,0.09399999999999986,1,-9.69,87.7,-10.599
aceturne,2023-10-25T19:55:00Z,0.09,3.748,0.1120000000000001,1,-9.52,88.3,-10.4
aceturne,2023-10-27T00:20:00Z,0.06,3.844,0.12699999999999978,1,-10.2,87.7,-11.098
aceturne,2023-10-27T01:25:00Z,0.1,4.176,0.0680000000000005,1,-9.8,88.9,-10.643
aceturne,2023-10-27T04:20:00Z,0.05,4.324,0.1280000000000001,1,-9.8,89.2,-10.627
