station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
acebigti,2023-01-16T09:00:00Z,0.05,0.143,0.014999999999999986,1,0.02,96.3,-0.414
acebigti,2023-01-16T09:45:00Z,0.1,0.207,0.064,1,-0.06,97.4,-0.405
acebigti,2023-01-16T10:05:00Z,0.05,0.267,0.11000000000000001,1,-0.1,97.9,-0.404
acebigti,2023-01-16T10:20:00Z,0.07,0.387,0.040000000000000036,1,-0.1,98.1,-0.388
acebigti,2023-01-26T13:30:00Z,0.36,0,0,0,1.5,52.52,-2.065
acebigti,2023-01-26T14:45:00Z,0.4,0,0,0,2.44,48.04,-1.515
acebigti,2023-01-26T15:50:00Z,0.18,0,0,0,3.06,46.68,-1.069
acebigti,2023-01-26T15:55:00Z,0.26,0,0,0,3.16,46.54,-0.993
acebigti,2023-01-26T16:55:00Z,0.7,0,0,0,4.12,45.46,-0.252
acebigti,2023-01-26T17:15:00Z,0.19,0,0,0,4.42,44.96,-0.033
acebigti,2023-01-26T17:30:00Z,0.56,0.034,0.034,1,4.82,44.88,0.297
acebigti,2023-01-26T18:50:00Z,0.09,0,0,0,5.56,44.1,0.861
acebigti,2023-01-26T19:20:00Z,0.18,0,0,0,5.78,43.72,1.018
acebigti,2023-01-27T19:35:00Z,0.34,0.872,0.48,1,0,97.4,-0.345
acebigti,2023-01-27T19:40:00Z,0.23,1.152,0.2799999999999999,1,0,97.5,-0.336
acebigti,2023-01-27T19:45:00Z,0.35,1.462,0.31000000000000005,1,0,97.6,-0.328
acebigti,2023-01-27T19:50:00Z,0.14,1.522,0.06000000000000005,1,0,97.7,-0.32
acebigti,2023-01-27T19:55:00Z,0.14,1.643,0.121,1,0,97.8,-0.312
acebigti,2023-01-27T20:00:00Z,0.38,2.283,0.6399999999999999,1,0,97.9,-0.304
acebigti,2023-01-27T20:05:00Z,0.11,2.452,0.16900000000000004,1,0,97.9,-0.304
acebigti,2023-01-27T20:15:00Z,0.34,2.892,0.56,1,0,98,-0.296
acebigti,2023-01-27T20:20:00Z,0.12,3.013,0.121,1,0.04,98,-0.256
acebigti,2023-01-27T20:30:00Z,0.06,3.069,0.06999999999999984,1,0.1,98,-0.195
acebigti,2023-01-27T20:35:00Z,0.07,3.259,0.18999999999999995,1,0.1,98,-0.195
acebigti,2023-01-27T20:45:00Z,0.06,3.769,2.261,1,0.1,98,-0.195
acebigti,2023-01-27T20:55:00Z,0.13,4.509,0.25,1,0.1,97.8,-0.212
